Date,Open,High,Low,Close,Adj Close,Volume
"Mar 24, 2025",206.92,210.88,205.6,210.23,209.92,"40,43,900"
"Mar 21, 2025",202.6,204.31,200.82,204.13,203.83,"79,76,300"
"Mar 20, 2025",205,206.17,203.11,203.93,203.63,"39,70,800"
"Mar 19, 2025",201.32,206.82,201.32,205.57,205.27,"35,64,000"
"Mar 18, 2025",201.8,201.98,199.52,200.79,200.5,"39,83,100"
"Mar 17, 2025",197,203.6,196.33,202.03,201.74,"37,33,000"
"Mar 14, 2025",195.37,197.7,193.6,197.11,196.82,"32,63,200"
"Mar 13, 2025",194.55,195.62,191.67,192.42,192.14,"38,37,200"
"Mar 12, 2025",194.92,197.25,192.43,195,194.72,"47,35,000"
"Mar 11, 2025",189.93,193.68,188.32,191.72,191.44,"53,56,700"
"Mar 10, 2025",189.2,192.21,187.91,192.12,191.84,"61,95,000"
"Mar 7, 2025",195.07,195.75,187.68,193.85,193.21,"76,81,300"
"Mar 6, 2025",199,200.22,195.28,196.05,195.4,"56,21,400"
"Mar 5, 2025",198.87,204.47,198.69,202.5,201.83,"62,21,200"
"Mar 4, 2025",198,203.04,193.26,198.77,198.11,"61,64,200"
"Mar 3, 2025",207.09,208.48,200.81,201.96,201.29,"53,76,400"
"Feb 28, 2025",201.95,207.32,201.03,206.98,206.29,"61,17,400"
"Feb 27, 2025",204.42,205.47,201.1,201.43,200.76,"34,80,200"
"Feb 26, 2025",201.76,204.6,199.99,201.61,200.94,"31,57,400"
"Feb 25, 2025",198.98,200.08,194.84,199.27,198.61,"41,21,400"
"Feb 24, 2025",202.63,203.25,197.43,198.71,198.05,"42,99,100"
"Feb 21, 2025",208.36,209.12,198.44,199.83,199.17,"54,19,500"
"Feb 20, 2025",209.73,210.28,207.15,208.74,208.05,"29,69,100"
"Feb 19, 2025",209.04,211.78,208.88,210.5,209.8,"26,99,100"
"Feb 18, 2025",209.87,212.19,209.32,210.08,209.38,"43,96,000"
"Feb 14, 2025",208.66,209.16,204.97,208.27,207.58,"42,68,500"
"Feb 13, 2025",211.12,211.3,206.27,208.36,207.67,"37,63,300"
"Feb 12, 2025",206.7,211.42,206.14,209.64,208.95,"45,95,200"
"Feb 11, 2025",205,209.15,204.44,208.82,208.13,"41,10,900"
